config,profit_target_pct,stop_rule,stop_credit_multiple,time_stop_dte,trades,win_rate,total_pnl,expectancy,profit_factor,sharpe,max_dd_pct,avg_win,avg_loss,worst_trade,stopped,level_broke,modelled_exits
hold/nostop,,none,2.0,,180,0.8555555555555555,40186.50000000006,223.25833333333367,1.2974448894458197,0.41547838278635435,-0.33242231826513996,1138.261038961039,-5196.373076923075,-10460.800000000003,0,0,0.0
hold/nostop+TS5,,none,2.0,5.0,199,0.7738693467336684,73437.55726694938,369.0329510901979,1.5772423017448285,0.6629649239956842,-0.22334457537434999,1302.980056378781,-2827.1415870085093,-11943.146316536382,0,0,0.9899497487437185
hold/nostop+TS3,,none,2.0,3.0,191,0.806282722513089,84570.89523435626,442.7795562008181,1.661324275885746,0.7316850616887721,-0.22628897111988747,1379.5586008781602,-3456.246737861634,-12013.988829305286,0,0,0.9581151832460733
hold/stop1.5x,,credit_multiple,1.5,,191,0.7539267015706806,58177.41884119257,304.5938159224742,1.350134212648474,0.5737886978906621,-0.19197613342368025,1557.88125,-3535.2655565703685,-11811.581921474935,39,0,0.18324607329842935
hold/stop1.5x+TS5,,credit_multiple,1.5,5.0,205,0.7365853658536585,55390.126197534664,270.1957375489496,1.3699140606826137,0.5804243094549475,-0.23683637179597625,1358.4632406824871,-2772.9226508429792,-8925.892839420243,34,0,0.9707317073170731
hold/stop1.5x+TS3,,credit_multiple,1.5,3.0,200,0.75,76130.21949190102,380.6510974595051,1.4826642504844663,0.7236905874440361,-0.25572295583160676,1559.0624291299846,-3154.582897551934,-9917.658710466934,36,0,0.935
hold/stop2x,,credit_multiple,2.0,,190,0.7947368421052632,68230.88862326655,359.10994012245555,1.4158169520617834,0.6208324633939023,-0.2560481028898086,1538.5407284768212,-4207.40413786496,-14383.600000000004,27,0,0.13684210526315788
hold/stop2x+TS5,,credit_multiple,2.0,5.0,205,0.751219512195122,57040.377110082685,278.24574200040337,1.3736135899588944,0.588205302554894,-0.2588779371073511,1361.7694316902134,-2993.5708896119636,-11380.86733800177,22,0,0.9853658536585366
hold/stop2x+TS3,,credit_multiple,2.0,3.0,199,0.7839195979899497,89792.81062179568,451.22015387837024,1.590762575812679,0.7967243709952818,-0.25093308021684174,1549.9202669260546,-3534.7616515969507,-12518.954071801945,23,0,0.9547738693467337
hold/stop2.5x,,credit_multiple,2.5,,188,0.8085106382978723,87051.35564407948,463.0391257663802,1.5556821444361228,0.7043136374115716,-0.25058921258919803,1603.3427631578945,-4351.576232108904,-15691.200000000006,22,0,0.11170212765957444
hold/stop2.5x+TS5,,credit_multiple,2.5,5.0,204,0.7647058823529411,94145.95557167308,461.4997822140837,1.711135451292354,0.7984919406223567,-0.19446055958176495,1452.1421420519343,-2758.087887258931,-9917.658710466934,16,0,0.9852941176470589
hold/stop2.5x+TS3,,credit_multiple,2.5,3.0,198,0.797979797979798,123886.01819856983,625.6869605988376,1.9305837785594608,0.9413200568214993,-0.20244331166837046,1626.665974648259,-3328.180144896378,-11955.311825767534,17,0,0.9545454545454546
