run,leverage,trades,total_pnl,total_return,cagr,max_dd_pct,sharpe,worst_trade,peak_risk_pct,mean_risk_pct,margin_breaches,bs_median_return,bs_p05_return,bs_median_dd,bs_p95_dd,bs_p_dd_over_25,bs_ruin_rate
unfiltered,1.0,293,15193.714094587693,0.13797949263979659,0.019798990020934992,-0.06527347967685986,0.5398636727380437,-1815.1999999999994,0.09970731159243308,0.014750974986103884,0,0.15588008129806707,-0.0032191036020155586,-0.06547376383727682,-0.11416718723266654,0.0,0.0
ML filtered,1.0,218,11946.256139371244,0.11946256139370415,0.01726444380804959,-0.03778258920792379,0.5903136173003373,-1765.2,0.09876257173212727,0.010971925570637706,0,0.12230686350605724,0.008212760739476754,-0.05215726857133274,-0.08909785714230768,0.0,0.0
unfiltered,2.0,289,28159.00457583348,0.253674749146205,0.03488684950106169,-0.1873517534558585,0.4326415920287106,-4294.25,0.2086309806258065,0.03542582860042615,0,0.29908133581882546,-0.1305011413890978,-0.17647951175850946,-0.3104249895053438,0.149,0.0
ML filtered,2.0,215,25733.02582127613,0.25733025821276745,0.03534399358415441,-0.09451503661464318,0.5321747288319815,-4294.25,0.21240992741371528,0.02651789248555161,0,0.26915548752305385,-0.018455044126401594,-0.126970398879923,-0.21323816956679054,0.0135,0.0
unfiltered,3.0,290,41637.61757419749,0.36752440667073616,0.04862182214504651,-0.28329765247052796,0.4318265761977065,-7845.600000000003,0.3243302447229445,0.05537108864974583,0,0.4454220413937876,-0.2289722002054155,-0.2678462191851535,-0.449500572565663,0.5795,0.0
ML filtered,3.0,215,38503.55033147407,0.3850355033147419,0.05064756447607399,-0.17579722494499725,0.5054348973094354,-7845.600000000003,0.32868519000878316,0.04189919878068759,0,0.4078146936411424,-0.07198796059218746,-0.20543978333961538,-0.33993137861927153,0.2765,0.0
unfiltered,4.0,289,54870.51116157456,0.471938045932361,0.06039043584176218,-0.3759803790266101,0.4362201771213352,-11768.400000000005,0.4463708080704479,0.07532519428722938,0,0.5912062247831229,-0.31444441044961946,-0.35118049991241657,-0.5635045716043133,0.881,0.0
ML filtered,4.0,214,50356.35873675976,0.5035635873675934,0.06381514774196861,-0.2370189521292681,0.49317039926942957,-11768.400000000005,0.4696931023661927,0.057281544663949684,0,0.5372589945394485,-0.14276380520807797,-0.2789909865784248,-0.4486553540717205,0.6335,0.0
unfiltered,6.0,288,77321.75627737043,0.6475987280190789,0.07867953257374083,-0.5383592584935422,0.4611989379454792,-20921.600000000006,0.7303615579718851,0.11554313531695647,0,0.8756071792023887,-0.5133831648411763,-0.5080388365103733,-0.7483158558733898,0.998,0.0
ML filtered,6.0,213,79376.5042182576,0.793765042182577,0.09267659360761193,-0.35891121700527745,0.5169524576379169,-22229.200000000004,0.7926384231658539,0.08695059752811836,0,0.8577565051094892,-0.25692320593182044,-0.4038214452912218,-0.6133191212962517,0.961,0.0
unfiltered,8.0,287,93916.92777968507,0.7507410256649125,0.08866023446058646,-0.6778214423465125,0.4939755634768504,-30074.800000000014,1.0977360436941412,0.1549322990006474,3,1.092921251696384,-0.6708390585315473,-0.6376862847254066,-0.8665796552964478,1.0,0.0
ML filtered,8.0,213,114680.9215780628,1.146809215780629,0.12286374340608086,-0.47855440091671575,0.5499368587823671,-36612.80000000002,1.2272326881895177,0.11814928582378362,4,1.2428804953943071,-0.362076445793982,-0.5192586895842183,-0.7444154073376796,0.998,0.0
unfiltered,10.0,286,87860.3028131898,0.6483018310817505,0.07874934216979979,-0.7780378377515227,0.5134079231392406,-36612.80000000002,1.6460167124264344,0.19535222532087013,20,1.0876990173610182,-0.813602764073087,-0.7450537078034798,-0.9377954198087347,1.0,0.0
ML filtered,10.0,211,144506.59889958013,1.4450659889958017,0.14524037678610968,-0.585830142719326,0.572943304113821,-52304.000000000015,1.8134981652550715,0.1491256255543807,19,1.5784079079584221,-0.49701983106475944,-0.6220737367975719,-0.8371198124559244,1.0,0.0
