window,exits,leverage,trades,win_rate,total_pnl,return,max_dd_pct,worst_day,peak_risk_pct,margin_breaches,worst_trade,max_losses_hit,final_equity
crash only (Feb-Apr),modelled OK,1.0,1,1.0,120.65834914455513,0.0012065834914454232,-0.002248232021041324,-0.0022482320210412965,0.01968476600088437,0,120.65834914455513,0,100120.65834914455
crash only (Feb-Apr),real quotes only,1.0,1,1.0,261.75,0.0026174999999999393,-0.0026475789489461307,-0.002647578948946183,0.01968476600088437,0,261.75,0,100261.75
crash only (Feb-Apr),modelled OK,2.0,1,1.0,241.31669828911026,0.0024131669828910685,-0.004485757482748379,-0.004485757482748376,0.039364065522006206,0,241.31669828911026,0,100241.31669828911
crash only (Feb-Apr),real quotes only,2.0,1,1.0,523.5,0.005235000000000101,-0.005267496516535108,-0.005267496516535131,0.039364065522006206,0,523.5,0,100523.5
crash only (Feb-Apr),modelled OK,4.0,1,1.0,482.6333965782205,0.004826333965782359,-0.008928993199685525,-0.008928993199685542,0.07870627423071591,0,482.6333965782205,0,100482.63339657823
crash only (Feb-Apr),real quotes only,4.0,1,1.0,1047.0,0.01046999999999998,-0.010426063582290862,-0.010426063582290812,0.07870627423071591,0,1047.0,0,101047.0
crash only (Feb-Apr),modelled OK,6.0,1,1.0,731.9939848103012,0.007319939848102974,-0.013476304404376043,-0.013476304404376083,0.11933694743092584,0,731.9939848103012,0,100731.9939848103
crash only (Feb-Apr),real quotes only,6.0,1,1.0,1587.95,0.015879500000000046,-0.015645697683367737,-0.015645697683367765,0.11933694743092584,0,1587.95,0,101587.95
crash + recovery (to Jun),modelled OK,1.0,1,1.0,120.65834914455513,0.0012065834914454232,-0.002248232021041324,-0.0022482320210412965,0.01968476600088437,0,120.65834914455513,0,100120.65834914455
crash + recovery (to Jun),real quotes only,1.0,1,1.0,261.75,0.0026174999999999393,-0.0026475789489461307,-0.002647578948946183,0.01968476600088437,0,261.75,0,100261.75
crash + recovery (to Jun),modelled OK,2.0,1,1.0,241.31669828911026,0.0024131669828910685,-0.004485757482748379,-0.004485757482748376,0.039364065522006206,0,241.31669828911026,0,100241.31669828911
crash + recovery (to Jun),real quotes only,2.0,1,1.0,523.5,0.005235000000000101,-0.005267496516535108,-0.005267496516535131,0.039364065522006206,0,523.5,0,100523.5
crash + recovery (to Jun),modelled OK,4.0,1,1.0,482.6333965782205,0.004826333965782359,-0.008928993199685525,-0.008928993199685542,0.07870627423071591,0,482.6333965782205,0,100482.63339657823
crash + recovery (to Jun),real quotes only,4.0,1,1.0,1047.0,0.01046999999999998,-0.010426063582290862,-0.010426063582290812,0.07870627423071591,0,1047.0,0,101047.0
crash + recovery (to Jun),modelled OK,6.0,1,1.0,731.9939848103012,0.007319939848102974,-0.013476304404376043,-0.013476304404376083,0.11933694743092584,0,731.9939848103012,0,100731.9939848103
crash + recovery (to Jun),real quotes only,6.0,1,1.0,1587.95,0.015879500000000046,-0.015645697683367737,-0.015645697683367765,0.11933694743092584,0,1587.95,0,101587.95
full 2020,modelled OK,1.0,2,1.0,171.4564010506696,0.001714564010506514,-0.002248232021041324,-0.0022482320210412965,0.01968476600088437,0,50.79805190611446,0,100171.45640105066
full 2020,real quotes only,1.0,2,1.0,336.45,0.0033644999999999925,-0.0026475789489461307,-0.002647578948946183,0.01968476600088437,0,74.69999999999999,0,100336.45
full 2020,modelled OK,2.0,2,1.0,393.7108540074536,0.003937108540074563,-0.004485757482748379,-0.004485757482748376,0.039364065522006206,0,152.39415571834334,0,100393.71085400746
full 2020,real quotes only,2.0,2,1.0,747.5999999999999,0.007476000000000038,-0.005267496516535108,-0.005267496516535131,0.039364065522006206,0,224.09999999999994,0,100747.6
full 2020,modelled OK,4.0,2,1.0,787.4217080149072,0.007874217080149126,-0.008928993199685525,-0.008928993199685542,0.07870627423071591,0,304.7883114366867,0,100787.42170801491
full 2020,real quotes only,4.0,2,1.0,1495.1999999999998,0.014952000000000076,-0.010426063582290862,-0.010426063582290812,0.07870627423071591,0,448.1999999999999,0,101495.2
full 2020,modelled OK,6.0,2,1.0,1189.1764519653314,0.011891764519653236,-0.013476304404376043,-0.013476304404376083,0.11933694743092584,0,457.1824671550301,0,101189.17645196532
full 2020,real quotes only,6.0,2,1.0,2260.25,0.02260250000000008,-0.015645697683367737,-0.015645697683367765,0.11933694743092584,0,672.2999999999998,0,102260.25
